SUBDIVISION,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,MEAN
ANDAMAN & NICOBAR ISLANDS,52.6372727272727,27.9945454545455,31.7428944923689,71.6941351255749,354.590412881551,467.19244443953,399.082078807053,398.051154492395,432.87896151294,286.723763800084,230.219384785738,149.48283399017,2844.72503089575,80.6327272727273,453.894593266485,1689.17976641722,661.199104203133,241.857490209102
ARUNACHAL PRADESH,47.0057455674114,90.4021167482536,150.925962826398,263.836082474227,358.522680412371,643.073550970868,690.964065302968,495.229896907217,432.134020618557,192.641381628961,35.7828074889813,24.3859913327743,3294.66034431477,137.409770988537,764.866015527927,2246.54174780683,251.408262498398,285.408691856582
ASSAM & MEGHALAYA,16.9747826086957,31.4417391304348,79.0269565217391,203.115652173913,341.539130434783,510.161739130435,495.102608695652,404.593043478261,310.734782608696,152.118260869565,26.9382608695652,8.95130434782608,2580.69565217391,48.4130434782609,623.687826086956,1720.59043478261,188.015652173913,215.058188405797
BIHAR,13.3860869565217,14.3939130434783,10.124347826087,16.9182608695652,53.0817391304348,174.315652173913,324.441739130435,299.64347826087,217.384347826087,63.0747826086957,7.17826086956522,3.69478260869565,1197.63391304348,27.7765217391304,80.1269565217391,1015.78608695652,73.9539130434783,99.8031159420289
CHHATTISGARH,14.2069565217391,19.2591304347826,15.2669565217391,16.7730434782609,21.0486956521739,198.266086956522,398.577391304348,389.873043478261,217.78,63.66,11.7721739130435,5.24869565217391,1371.72869565217,33.4626086956522,53.0921739130435,1204.50086956522,80.6747826086956,114.311014492754
COASTAL ANDHRA PRADESH,7.48347826086957,12.9234782608696,13.2217391304348,26.7408695652174,62.5495652173913,123.693913043478,173.824347826087,175.92347826087,181.707826086957,185.511304347826,77.9034782608696,11.42,1052.90434782609,20.4043478260869,102.515652173913,655.141739130435,274.835652173913,87.7419565217391
COASTAL KARNATAKA,2.08571582642531,1.51826086956522,6.35739130434783,30.9165217391304,122.787826086957,841.326086956522,1127.02869565217,713.618260869565,299.652173913043,184.552173913044,63.6078260869565,12.6139130434783,3391.0409469544,3.69606770337459,160.051304347826,2981.61826086956,260.775652173913,283.838737188434
EAST MADHYA PRADESH,19.4017391304348,18.6939130434783,13.6373913043478,7.18869565217392,9.27304347826087,141.029565217391,371.378260869565,369.368695652174,194.23652173913,39.6860869565217,12.7052173913043,8.40434782608696,1205,38.0947826086957,30.0965217391304,1076.01826086957,60.8,100.416956521739
EAST RAJASTHAN,6.42260869565217,5.41739130434783,4.51652173913043,3.14434782608695,9.82,63.3991304347826,223.347826086956,218.277391304348,97.9782608695652,14.3608695652174,4.87391304347826,3.65130434782609,655.215652173913,11.8373913043478,17.4878260869565,602.998260869565,22.8878260869565,54.6007971014493
EAST UTTAR PRADESH,16.0121739130435,15.8739130434783,8.90782608695652,6.43043478260869,17.2113043478261,110.712173913043,290.568695652174,275.613913043478,184.591304347826,42.9208695652174,4.5904347826087,5.77652173913043,979.213043478261,31.8878260869565,32.5539130434782,861.486086956522,53.2939130434783,81.6007971014493
